,iteration,clusters,tree_type,t_height,t_nodes,tree,processors,method,steal_half,steps,steal_attempts,successful_steals
0,0,1,BT1,436,35139,idk,4,random,True,17847,1110,93
2,0,1,BT1,436,35139,idk,4,right,True,17924,1418,107
3,0,1,BT1,436,35139,idk,4,push_stack,True,17879,1238,93
8,0,1,BT1,436,35139,idk,4,random,False,17997,1710,468
10,0,1,BT1,436,35139,idk,4,right,False,17892,1290,489
11,0,1,BT1,436,35139,idk,4,push_stack,False,17994,1698,527
16,0,1,BT1,436,35139,idk,8,random,True,9312,4218,343
18,0,1,BT1,436,35139,idk,8,right,True,9714,7434,631
19,0,1,BT1,436,35139,idk,8,push_stack,True,9254,3754,380
24,0,1,BT1,436,35139,idk,8,random,False,9416,5050,1155
26,0,1,BT1,436,35139,idk,8,right,False,9688,7226,1580
27,0,1,BT1,436,35139,idk,8,push_stack,False,9335,4402,1171
32,0,1,BT1,436,35139,idk,16,random,True,5126,11738,1058
34,0,1,BT1,436,35139,idk,16,right,True,7370,47642,1729
35,0,1,BT1,436,35139,idk,16,push_stack,True,5057,10634,1531
40,0,1,BT1,436,35139,idk,16,random,False,5122,11674,2293
42,0,1,BT1,436,35139,idk,16,right,False,6218,29210,3289
43,0,1,BT1,436,35139,idk,16,push_stack,False,5065,10762,2895
48,0,1,BT1,436,35139,idk,32,random,True,3126,29754,2486
50,0,1,BT1,436,35139,idk,32,right,True,6321,131994,2131
51,0,1,BT1,436,35139,idk,32,push_stack,True,2991,25434,2663
56,0,1,BT1,436,35139,idk,32,random,False,3079,28250,4199
58,0,1,BT1,436,35139,idk,32,right,False,4882,85946,4988
59,0,1,BT1,436,35139,idk,32,push_stack,False,2950,24122,4569
64,0,1,BT1,436,35139,idk,64,random,True,2354,80378,4578
66,0,1,BT1,436,35139,idk,64,right,True,6059,317498,2394
67,0,1,BT1,436,35139,idk,64,push_stack,True,2117,65210,5214
72,0,1,BT1,436,35139,idk,64,random,False,2090,63482,6762
74,0,1,BT1,436,35139,idk,64,right,False,4330,206842,5841
75,0,1,BT1,436,35139,idk,64,push_stack,False,1999,57658,8673
